===================================================================================================================================
2020
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Nakobe Dean\nakobe-dean-1,26,23,49,1.5,1.5,,,,,,,,,
2,Monty Rice\monty-rice-2,22,13,35,3.0,1.0,,,,,1,1,,1,2
3,Lewis Cine\lewis-cine-1,19,12,31,1.0,0.0,,,,,1,,,,
4,Richard Lecounte III\richard-lecounte-iii-1,16,10,26,1.0,0.0,3,38,12.7,0,4,1,,,0
5,Quay Walker\quay-walker-1,12,13,25,0.0,0.0,,,,,,,,,
6,Azeez Ojulari\azeez-ojulari-1,14,8,22,6.5,4.5,,,,,2,1,,,2
7,Tyrique Stevenson\tyrique-stevenson-1,13,7,20,0.0,0.0,,,,,2,,,,
8,Devonte Wyatt\devonte-wyatt-1,7,13,20,0.0,0.0,,,,,,,,,
9,Tyson Campbell\tyson-campbell-1,11,5,16,1.0,0.0,,,,,4,,,,
10,Nolan Smith\nolan-smith-1,6,10,16,1.5,1.5,,,,,,,,,
11,Eric Stokes\eric-stokes-2,9,4,13,0.0,0.0,3,67,22.3,2,4,,,,
12,Malik Herring\malik-herring-1,7,6,13,1.5,1.0,,,,,2,,,,
13,Jordan Davis\jordan-davis-3,3,9,12,0.0,0.0,,,,,,,,,
14,Jaylen Johnson\jaylen-johnson-3,9,3,12,3.0,3.0,,,,,1,,,,
15,Christopher Smith\christopher-smith-1,6,6,12,0.0,0.0,,,,,,,,,
16,Mark Webb\mark-webb-1,7,4,11,0.0,0.0,1,13,13.0,0,2,,,,
17,Travon Walker\travon-walker-1,4,5,9,2.0,1.0,,,,,,,,,1
18,Channing Tindall\channing-tindall-1,5,3,8,2.0,2.0,,,,,,,,,
19,Adam Anderson\adam-anderson-2,5,2,7,2.5,2.5,,,,,,,,,
20,Jalen Carter\jalen-carter-1,4,2,6,1.0,0.0,,,,,,,,,
21,Julian Rochester\julian-rochester-1,1,5,6,0.0,0.0,,,,,,,,,
22,Major Burns\major-burns-1,2,2,4,0.0,0.0,,,,,,,,,
23,Warren McClendon\warren-mcclendon-1,4,0,4,0.0,0.0,,,,,,,,,
24,DJ Daniel\dj-daniel-2,3,0,3,0.0,0.0,,,,,1,,,,
25,Kolby Wyatt\kolby-wyatt-1,3,0,3,0.0,0.0,,,,,,,,,
26,Latavious Brini\latavious-brini-1,1,1,2,0.0,0.0,,,,,,,,,
27,Warren Brinson\warren-brinson-1,0,2,2,0.0,0.0,,,,,,,,,
28,Prather Hudson\prather-hudson-1,1,1,2,0.0,0.0,,,,,,,,,
29,Jalen Kimber\jalen-kimber-1,2,0,2,0.0,0.0,,,,,,,,,
30,Nate McBridge\nate-mcbridge-1,0,2,2,0.0,0.0,,,,,,,,,
31,Marcus Rosemy\marcus-rosemy-1,2,0,2,0.0,0.0,,,,,,,,,
32,Stetson Bennett\stetson-bennett-1,1,0,1,0.0,0.0,,,,,,,,,
33,Jake Camarda\jake-camarda-1,1,0,1,0.0,0.0,,,,,,,,,
34,Zion Logue\zion-logue-1,0,1,1,0.0,0.0,,,,,,,,,
35,Tymon Mitchell\tymon-mitchell-1,0,1,1,0.0,0.0,,,,,,,,,
36,Bill Norton\bill-norton-2,0,1,1,0.5,0.0,,,,,,,,,
37,MJ Sherman\mj-sherman-1,1,0,1,0.0,0.0,,,,,,,,,
38,Ameer Sped\ameer-sped-1,1,0,1,0.0,0.0,,,,,,,,,
39,Nazir Stackhouse\nazir-stackhouse-1,0,1,1,0.0,0.0,,,,,,,,,
40,Tramel Walthour\tramel-walthour-1,1,0,1,0.0,0.0,,,,,,,,,
===================================================================================================================================
2019
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Monty Rice\monty-rice-2,50,39,89,3.0,0.0,,,,,3,,,,
2,Tae Crowder\tae-crowder-1,29,33,62,4.0,0.0,,,,,4,1,,1,0
3,Richard Lecounte III\richard-lecounte-iii-1,35,26,61,4.5,0.0,4,76,19.0,0,3,3,,,2
4,J.R. Reed\jr-reed-3,29,25,54,2.0,0.5,1,0,0.0,0,7,1,,1,1
5,DJ Daniel\dj-daniel-2,36,6,42,2.0,0.0,,,,,8,,,,
6,Eric Stokes\eric-stokes-2,30,8,38,1.0,1.0,,,,,9,,,,1
7,Mark Webb\mark-webb-1,25,13,38,3.0,0.0,,,,,3,,,,1
8,Azeez Ojulari\azeez-ojulari-1,14,19,33,5.0,5.5,,,,,,,,,1
9,Devonte Wyatt\devonte-wyatt-1,11,19,30,1.5,1.0,,,,,,1,,,0
10,Tyler Clark\tyler-clark-3,11,15,26,8.0,2.5,,,,,,,,,
11,Nakobe Dean\nakobe-dean-1,14,11,25,1.5,0.0,,,,,2,,,,1
12,Divaad Wilson\divaad-wilson-1,18,6,24,0.0,0.0,1,11,11.0,0,1,,,,
13,Michael Barnett\michael-barnett-1,5,18,23,0.5,0.0,,,,,1,,,,
14,Quay Walker\quay-walker-1,12,11,23,3.5,2.5,,,,,,,,,
15,Malik Herring\malik-herring-1,14,8,22,3.5,0.5,,,,,2,,,,
16,Jermaine Johnson\jermaine-johnson-3,9,11,20,2.0,1.5,,,,,1,,,,1
17,Lewis Cine\lewis-cine-1,14,5,19,0.5,0.0,1,15,15.0,0,2,,,,
18,Nolan Smith\nolan-smith-1,10,8,18,2.5,2.5,,,,,1,,,,
19,Jordan Davis\jordan-davis-3,7,10,17,4.0,2.5,,,,,,,,,
20,Tyson Campbell\tyson-campbell-1,9,6,15,0.5,1.0,,,,,4,1,,1,0
21,Travon Walker\travon-walker-1,9,6,15,3.5,2.5,,,,,1,,,,
22,David Marshall\david-marshall-1,4,9,13,1.5,0.0,,,,,,,,,
23,Tyrique Stevenson\tyrique-stevenson-1,9,4,13,1.0,1.0,,,,,5,,,,
24,Nate McBridge\nate-mcbridge-1,5,5,10,1.0,0.0,,,,,2,,,,
25,Channing Tindall\channing-tindall-1,4,5,9,1.5,1.5,,,,,,,,,
26,Clay Webb\clay-webb-1,6,2,8,0.0,0.0,,,,,,,,,1
27,Robert Beal\robert-beal-1,1,7,8,0.5,0.0,,,,,,,,,
28,Julian Rochester\julian-rochester-1,3,5,8,1.5,0.0,,,,,,,,,
29,Walter Grant\walter-grant-4,5,2,7,2.0,1.0,,,,,,,,,
30,Christopher Smith\christopher-smith-1,2,5,7,0.0,0.0,,,,,,,,,
31,Adam Anderson\adam-anderson-2,5,1,6,2.0,2.0,,,,,,,,,
32,Justin Young\justin-young-2,3,3,6,1.0,0.0,,,,,1,,,,
33,Trezmen Marshall\trezmen-marshall-1,3,2,5,0.0,0.0,,,,,,,,,
34,Ameer Sped\ameer-sped-1,5,0,5,0.0,0.0,,,,,,,,,
35,Prather Hudson\prather-hudson-1,4,0,4,0.0,0.0,,,,,,,,,
36,Netori Johnson\netori-johnson-1,3,1,4,2.0,1.0,,,,,,,,,
37,Tymon Mitchell\tymon-mitchell-1,1,3,4,0.0,0.0,,,,,,,,,
38,Bill Norton\bill-norton-2,2,2,4,1.0,0.0,,,,,,,,,
39,Brian Herrien\brian-herrien-1,1,2,3,1.0,0.0,,,,,,,,,
40,William Poole\william-poole-1,2,1,3,0.0,0.0,,,,,,,,,
41,Otis Reese\otis-reese-1,2,1,3,0.0,0.0,,,,,,,,,
42,Michail Carter\michail-carter-1,1,1,2,0.0,0.0,,,,,,,,,
43,Tyrique McGhee\tyrique-mcghee-1,0,2,2,0.0,0.0,,,,,1,,,,
44,Aaron Olalude\aaron-olalude-1,1,1,2,0.0,0.0,,,,,,,,,
45,Tyler Simmons\tyler-simmons-2,1,1,2,0.0,0.0,,,,,,,,,
46,Charlie Woerner\charlie-woerner-1,2,0,2,0.0,0.0,,,,,,,,,
47,Rodrigo Blankenship\rodrigo-blankenship-1,1,0,1,0.0,0.0,,,,,,,,,
48,Hugh Nelson\hugh-nelson-1,1,0,1,0.0,0.0,,,,,,,,,
49,George Pickens\george-pickens-1,1,0,1,0.0,0.0,,,,,,,,,
50,Demetris Robertson\demetris-robertson-1,1,0,1,0.0,0.0,,,,,,,,,
