=======================================================================================
2020
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Zamir White\zamir-white-1,121,614,5.1,9,5,32,6.4,0,126,646,5.1,9
2,James Cook\james-cook-2,39,259,6.6,2,15,188,12.5,1,54,447,8.3,3
3,Kendall Milton\kendall-milton-1,31,183,5.9,0,,,,,31,183,5.9,0
4,Kenny McIntosh\kenny-mcintosh-1,31,176,5.7,0,4,51,12.8,0,35,227,6.5,0
5,Daijun Edwards\daijun-edwards-1,26,115,4.4,0,1,3,3.0,0,27,118,4.4,0
6,Stetson Bennett\stetson-bennett-1,24,54,2.3,2,,,,,24,54,2.3,2
7,D'Wan Mathis\dwan-mathis-1,18,17,0.9,0,,,,,18,17,0.9,0
8,JT Daniels\jt-daniels-1,5,-39,-7.8,0,,,,,5,-39,-7.8,0
9,Jermaine Burton\jermaine-burton-1,4,50,12.5,0,21,360,17.1,3,25,410,16.4,3
10,Prather Hudson\prather-hudson-1,1,7,7.0,0,,,,,1,7,7.0,0
11,Kearis Jackson\kearis-jackson-1,,,,,32,455,14.2,3,32,455,14.2,3
12,George Pickens\george-pickens-1,,,,,24,252,10.5,3,24,252,10.5,3
13,Demetris Robertson\demetris-robertson-1,,,,,10,98,9.8,0,10,98,9.8,0
14,Tre' McKitty\tre-mckitty-1,,,,,6,108,18.0,1,6,108,18.0,1
15,John FitzPatrick\john-fitzpatrick-2,,,,,6,54,9.0,1,6,54,9.0,1
16,Marcus Rosemy\marcus-rosemy-1,,,,,4,62,15.5,1,4,62,15.5,1
17,Darnell Washington\darnell-washington-1,,,,,2,59,29.5,0,2,59,29.5,0
18,Matt Landers\matt-landers-1,,,,,2,27,13.5,0,2,27,13.5,0
19,Arian Smith\arian-smith-1,,,,,1,31,31.0,1,1,31,31.0,1
20,Brett Seither\brett-seither-1,,,,,1,12,12.0,0,1,12,12.0,0
21,Jalen Carter\jalen-carter-1,,,,,1,1,1.0,1,1,1,1.0,1
=======================================================================================
2019
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,D'Andre Swift\dandre-swift-1,196,1218,6.2,7,24,216,9.0,1,220,1434,6.5,8
2,Brian Herrien\brian-herrien-1,103,490,4.8,6,16,110,6.9,1,119,600,5.0,7
3,Zamir White\zamir-white-1,78,408,5.2,3,2,20,10.0,0,80,428,5.4,3
4,Jake Fromm\jake-fromm-1,38,-12,-0.3,0,,,,,38,-12,-0.3,0
5,James Cook\james-cook-2,31,188,6.1,2,16,132,8.3,0,47,320,6.8,2
6,Kenny McIntosh\kenny-mcintosh-1,25,174,7.0,2,1,3,3.0,0,26,177,6.8,2
7,Tyler Simmons\tyler-simmons-2,12,89,7.4,0,21,255,12.1,1,33,344,10.4,1
8,Demetris Robertson\demetris-robertson-1,6,52,8.7,0,30,333,11.1,3,36,385,10.7,3
9,Sevaughn Clark\sevaughn-clark-1,6,19,3.2,0,,,,,6,19,3.2,0
10,Stetson Bennett\stetson-bennett-1,4,12,3.0,1,,,,,4,12,3.0,1
11,Kearis Jackson\kearis-jackson-1,2,10,5.0,0,5,79,15.8,0,7,89,12.7,0
12,Jake Camarda\jake-camarda-1,1,6,6.0,0,,,,,1,6,6.0,0
13,Prather Hudson\prather-hudson-1,1,5,5.0,0,1,14,14.0,0,2,19,9.5,0
14,Nathan Priestley\nathan-priestley-1,1,-1,-1.0,0,,,,,1,-1,-1.0,0
15,Matt Landers\matt-landers-1,1,-6,-6.0,0,10,105,10.5,1,11,99,9.0,1
16,George Pickens\george-pickens-1,,,,,49,727,14.8,8,49,727,14.8,8
17,Lawrence Cager\lawrence-cager-1,,,,,33,476,14.4,4,33,476,14.4,4
18,Dominick Blaylock\dominick-blaylock-1,,,,,18,310,17.2,5,18,310,17.2,5
19,Eli Wolf\eli-wolf-1,,,,,13,194,14.9,1,13,194,14.9,1
20,Charlie Woerner\charlie-woerner-1,,,,,9,78,8.7,1,9,78,8.7,1
21,Jaylen Johnson\jaylen-johnson-3,,,,,2,20,10.0,0,2,20,10.0,0
