Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2020,SEC,4,2,0,.667,12.41,4.74,4,3,,Kirby Smart (4-2),,
2,2019,SEC,12,2,0,.857,17.64,5.21,3,3,4,Kirby Smart (12-2),Sugar Bowl-W,
3,2018,SEC,11,3,0,.786,20.69,6.33,3,2,7,Kirby Smart (11-3),Sugar Bowl-L,
4,2017,SEC,13,2,0,.867,22.47,7.01,15,2,2,Kirby Smart (13-2),Rose Bowl-W College Football Championship-L,
5,2016,SEC,8,5,0,.615,3.64,2.57,18,9,,Kirby Smart (8-5),Liberty Bowl-W,
6,2015,SEC,10,3,0,.769,8.98,1.83,9,7,,Mark Richt (9-3),TaxSlayer Bowl-W,
7,2014,SEC,10,3,0,.769,18.84,5.07,12,6,9,Mark Richt (10-3),Belk Bowl-W,
8,2013,SEC,8,5,0,.615,12.82,7.59,5,5,,Mark Richt (8-5),Gator Bowl-L,
9,2012,SEC,12,2,0,.857,17.93,4.21,6,3,5,Mark Richt (12-2),Capital One Bowl-W,
10,2011,SEC,10,4,0,.714,10.67,4.02,19,12,19,Mark Richt (10-4),Outback Bowl-L,
11,2010,SEC,6,7,0,.462,6.35,2.65,23,22,,Mark Richt (6-7),Liberty Bowl-L,
12,2009,SEC,8,5,0,.615,9.06,6.36,13,13,,Mark Richt (8-5),Independence Bowl-W,
13,2008,SEC,10,3,0,.769,11.60,4.52,1,1,13,Mark Richt (10-3),Capital One Bowl-W,
14,2007,SEC,11,2,0,.846,17.20,5.66,13,2,2,Mark Richt (11-2),Sugar Bowl-W,
15,2006,SEC,9,4,0,.692,10.21,3.75,15,9,23,Mark Richt (9-4),Chick-fil-A Bowl-W,
16,2005,SEC,10,3,0,.769,13.75,3.36,13,4,10,Mark Richt (10-3),Sugar Bowl-L,
17,2004,SEC,10,2,0,.833,12.66,3.33,3,3,7,Mark Richt (10-2),Outback Bowl-W,
18,2003,SEC,11,3,0,.786,17.46,6.11,11,4,7,Mark Richt (11-3),Capital One Bowl-W,
19,2002,SEC,13,1,0,.929,18.18,3.96,8,3,3,Mark Richt (13-1),Sugar Bowl-W,
20,2001,SEC,8,4,0,.667,11.51,3.60,,15,22,Mark Richt (8-4),Music City Bowl-L,
21,2000,SEC,8,4,0,.667,9.97,1.80,10,9,20,Jim Donnan (8-4),Oahu Classic-W,
22,1999,SEC,8,4,0,.667,7.33,4.41,14,10,16,Jim Donnan (8-4),Outback Bowl-W,
23,1998,SEC,9,3,0,.750,7.51,2.68,19,7,14,Jim Donnan (9-3),Peach Bowl-W,
24,1997,SEC,10,2,0,.833,17.42,5.59,,7,10,Jim Donnan (10-2),Outback Bowl-W,
25,1996,SEC,5,6,0,.455,4.83,6.01,,,,Jim Donnan (5-6),,
26,1995,SEC,6,6,0,.500,4.94,4.94,,20,,Ray Goff (6-6),Peach Bowl-L,
27,1994,SEC,6,4,1,.591,6.99,4.17,,23,,Ray Goff (6-4-1),,
28,1993,SEC,5,6,0,.455,6.01,4.65,13,13,,Ray Goff (5-6),,
29,1992,SEC,10,2,0,.833,14.26,0.42,14,7,8,Ray Goff (10-2),Citrus Bowl-W,
30,1991,SEC,9,3,0,.750,9.38,1.04,,17,17,Ray Goff (9-3),Independence Bowl-W,
31,1990,SEC,4,7,0,.364,-3.60,4.22,,,,Ray Goff (4-7),,
32,1989,SEC,6,6,0,.500,7.01,4.17,,23,,Ray Goff (6-6),Peach Bowl-L,
33,1988,SEC,9,3,0,.750,11.19,0.35,12,6,15,Vince Dooley (9-3),Gator Bowl-W,
34,1987,SEC,9,3,0,.750,14.29,6.71,20,8,13,Vince Dooley (9-3),Liberty Bowl-W,
35,1986,SEC,8,4,0,.667,9.62,3.29,16,14,,Vince Dooley (8-4),Hall of Fame Bowl-L,
36,1985,SEC,7,3,2,.667,13.58,6.17,,12,,Vince Dooley (7-3-2),Sun Bowl-T,
37,1984,SEC,7,4,1,.625,10.26,7.59,,8,,Vince Dooley (7-4-1),Citrus Bowl-T,
38,1983,SEC,10,1,1,.875,19.19,8.53,15,4,4,Vince Dooley (10-1-1),Cotton Bowl-W,
39,1982,SEC,11,1,0,.917,18.68,5.76,7,1,4,Vince Dooley (11-1),Sugar Bowl-L,
40,1981,SEC,10,2,0,.833,21.43,6.43,10,2,6,Vince Dooley (10-2),Sugar Bowl-L,
41,1980,SEC,12,0,0,1.000,19.48,5.64,16,1,1,Vince Dooley (12-0),Sugar Bowl-W,
